"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 30, 2017","112.38","112.34","112.65","112.12","0.28K","0.04%"
"Oct 27, 2017","112.33","112.47","112.47","112.35","0.77K","0.00%"
"Oct 26, 2017","112.33","112.28","112.36","112.23","0.46K","0.08%"
"Oct 25, 2017","112.24","112.24","112.28","112.24","2.32K","-0.02%"
"Oct 24, 2017","112.26","112.29","112.29","112.25","1.12K","-0.01%"
"Oct 23, 2017","112.27","112.30","112.33","112.27","1.83K","0.00%"
"Oct 20, 2017","112.27","112.29","112.29","112.24","0.50K","0.00%"
"Oct 19, 2017","112.27","112.23","112.29","112.23","0.37K","0.01%"
"Oct 18, 2017","112.26","112.26","112.31","112.25","0.52K","0.00%"
"Oct 17, 2017","112.26","112.23","112.30","112.23","5.30K","0.04%"
"Oct 16, 2017","112.22","112.22","112.24","112.17","2.65K","0.01%"
"Oct 13, 2017","112.21","112.16","112.23","112.16","0.90K","0.03%"
"Oct 12, 2017","112.18","112.18","112.23","112.17","2.72K","0.01%"
"Oct 11, 2017","112.17","112.28","112.28","112.16","1.96K","0.03%"
"Oct 10, 2017","112.14","112.19","112.19","112.14","0.93K","-0.03%"
"Oct 09, 2017","112.17","112.20","112.20","112.17","2.47K","-0.01%"
"Oct 06, 2017","112.18","112.14","112.19","112.14","0.26K","-0.02%"
"Oct 05, 2017","112.20","112.14","112.23","112.14","1.67K","-0.01%"
"Oct 04, 2017","112.21","112.23","112.23","112.11","1.41K","0.01%"
"Oct 03, 2017","112.20","112.25","112.25","112.20","1.29K","-0.03%"
"Oct 02, 2017","112.23","112.21","112.24","112.21","2.69K","-0.03%"
"Sep 29, 2017","112.26","112.49","112.60","112.25","1.05K","0.01%"
"Sep 28, 2017","112.25","112.19","112.23","112.19","2.09K","0.03%"
"Sep 27, 2017","112.22","112.25","112.25","112.22","0.38K","-0.04%"
"Sep 26, 2017","112.26","112.26","112.26","112.22","0.46K","0.00%"
"Sep 25, 2017","112.26","112.22","112.28","112.22","0.08K","0.02%"
"Sep 22, 2017","112.24","112.23","112.26","112.23","6.02K","-0.01%"
"Sep 21, 2017","112.25","112.24","112.25","112.20","0.19K","-0.02%"
"Sep 20, 2017","112.27","112.27","112.29","112.27","0.20K","0.01%"
"Sep 19, 2017","112.26","112.23","112.27","112.23","0.43K","0.02%"
"Sep 18, 2017","112.24","112.25","112.28","112.25","0.59K","0.02%"
"Sep 15, 2017","112.22","112.18","112.22","112.18","1.05K","0.01%"
"Sep 14, 2017","112.21","112.20","112.24","112.20","0.74K","0.00%"
"Sep 13, 2017","112.21","112.26","112.26","112.21","6.82K","-0.03%"
"Sep 12, 2017","112.24","112.29","112.29","112.28","0.14K","-0.04%"
"Sep 11, 2017","112.28","112.33","112.33","112.33","0.50K","-0.03%"
"Sep 08, 2017","112.31","112.32","112.36","112.28","2.85K","-0.04%"
"Sep 07, 2017","112.35","112.26","112.27","112.21","1.19K","0.09%"
"Sep 06, 2017","112.25","112.31","112.31","112.23","0.31K","-0.03%"
"Sep 05, 2017","112.28","112.23","112.28","112.23","2.33K","0.01%"
"Sep 04, 2017","112.27","112.26","112.30","111.95","0.30K","0.00%"
"Sep 01, 2017","112.27","112.26","112.29","112.26","0.03K","0.01%"
