"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 06, 2018","231.00","231.22","231.22","231.22","0.02K","0.00%"
"Oct 31, 2018","230.99","231.02","231.02","231.02","0.05K","0.08%"
"Oct 30, 2018","230.80","230.88","230.88","230.88","0.03K","-0.23%"
"Oct 29, 2018","231.34","231.34","231.40","231.34","1.98K","0.19%"
"Oct 26, 2018","230.89","230.40","230.52","230.40","0.02K","0.22%"
"Oct 25, 2018","230.39","230.16","230.40","230.07","0.12K","0.19%"
"Oct 24, 2018","229.96","230.09","230.09","229.86","0.67K","0.05%"
"Oct 23, 2018","229.84","230.18","230.27","230.11","1.64K","-0.04%"
"Oct 22, 2018","229.93","230.00","230.10","230.00","0.19K","0.25%"
"Oct 19, 2018","229.36","227.87","229.36","227.86","0.78K","0.10%"
"Oct 18, 2018","229.13","229.25","229.25","229.25","0.10K","-0.22%"
"Oct 16, 2018","229.63","229.09","229.49","229.09","0.05K","0.30%"
"Oct 15, 2018","228.94","228.92","228.92","228.92","0.06K","-0.01%"
"Oct 12, 2018","228.96","228.88","228.97","228.84","0.85K","0.04%"
"Oct 11, 2018","228.87","229.15","229.15","228.79","0.50K","-0.10%"
"Oct 10, 2018","229.09","227.00","229.33","227.00","0.25K","-0.01%"
"Oct 09, 2018","229.11","228.83","228.83","228.75","0.23K","0.07%"
"Oct 08, 2018","228.94","228.91","228.92","228.91","0.04K","-0.19%"
"Oct 05, 2018","229.38","229.45","229.45","229.38","0.13K","-0.27%"
"Oct 04, 2018","230.01","229.96","229.99","229.91","0.20K","-0.20%"
"Oct 03, 2018","230.47","230.34","230.47","230.24","1.18K","0.10%"
"Oct 01, 2018","230.23","230.82","230.82","230.36","0.07K","-0.37%"
"Sep 28, 2018","231.08","231.26","231.26","230.92","0.07K","-0.37%"
"Sep 27, 2018","231.93","232.09","232.09","231.56","1.95K","-0.14%"
"Sep 26, 2018","232.26","231.90","232.33","231.90","6.48K","0.14%"
"Sep 25, 2018","231.93","232.10","232.20","231.97","0.57K","0.02%"
"Sep 24, 2018","231.88","232.76","232.76","232.05","0.04K","-0.40%"
"Sep 21, 2018","232.80","232.62","232.86","232.56","11.31K","0.16%"
"Sep 20, 2018","232.42","232.72","232.89","232.26","7.83K","-0.23%"
"Sep 18, 2018","232.96","232.89","232.89","232.82","1.26K","0.08%"
"Sep 17, 2018","232.77","232.73","232.73","232.62","0.11K","0.17%"
"Sep 14, 2018","232.37","232.52","232.68","232.34","0.15K","-0.14%"
"Sep 13, 2018","232.70","232.71","232.78","232.71","0.15K","-0.03%"
"Sep 11, 2018","232.76","232.91","232.91","232.91","0.04K","-0.07%"
"Sep 10, 2018","232.93","232.88","232.95","232.88","0.10K","0.17%"
"Sep 07, 2018","232.54","233.05","233.05","233.05","0.07K","-0.06%"
"Sep 06, 2018","232.67","232.50","232.83","232.50","0.81K","0.28%"
"Sep 04, 2018","232.03","231.75","231.92","231.75","0.11K","0.27%"
"Sep 03, 2018","231.41","231.42","231.65","231.30","3.02K","0.11%"
"Aug 31, 2018","231.16","231.45","231.81","231.13","15.25K","-0.10%"
"Aug 30, 2018","231.39","231.40","231.40","231.31","0.22K","0.00%"
"Aug 29, 2018","231.38","231.41","231.41","231.41","0.00K","-0.15%"
"Aug 27, 2018","231.73","231.96","231.96","231.89","0.03K","-0.13%"
"Aug 24, 2018","232.04","232.21","232.21","232.21","0.02K","-0.15%"
"Aug 22, 2018","232.39","232.97","232.97","232.97","0.00K","-0.21%"
"Aug 21, 2018","232.87","232.10","232.85","232.10","0.04K","0.32%"
"Aug 17, 2018","232.13","232.22","232.22","232.22","0.00K","-0.06%"
"Aug 14, 2018","232.27","232.20","232.35","232.15","0.48K","0.10%"
"Aug 13, 2018","232.04","232.35","232.38","232.35","0.07K","-0.28%"
"Aug 10, 2018","232.68","232.88","232.88","232.88","0.01K","-0.09%"
"Aug 09, 2018","232.88","232.76","232.76","232.76","0.00K","0.06%"
"Aug 08, 2018","232.75","232.77","232.88","232.76","0.92K","0.04%"
"Aug 07, 2018","232.66","232.66","232.78","232.55","2.46K","0.00%"
"Aug 06, 2018","232.65","232.68","232.68","232.62","0.10K","0.15%"
"Aug 03, 2018","232.31","231.70","232.26","231.61","0.36K","0.07%"
"Aug 02, 2018","232.14","232.51","232.51","232.08","0.54K","-0.19%"
"Aug 01, 2018","232.58","232.82","232.95","232.64","1.04K","-0.25%"
"Jul 31, 2018","233.17","233.17","233.17","232.94","0.04K","0.12%"
"Jul 30, 2018","232.90","233.51","233.51","232.91","0.29K","-0.25%"
"Jul 27, 2018","233.49","233.54","233.54","233.47","0.08K","-0.12%"
"Jul 26, 2018","233.78","233.61","233.86","233.56","1.34K","-0.43%"
"Jul 19, 2018","234.80","234.72","234.78","234.61","0.10K","0.06%"
"Jul 18, 2018","234.66","234.74","234.74","234.74","0.02K","-0.06%"
"Jul 17, 2018","234.81","234.43","234.52","234.43","0.02K","0.26%"
"Jul 16, 2018","234.19","234.38","234.42","234.34","0.24K","0.09%"
"Jul 12, 2018","233.99","233.59","233.74","233.59","0.03K","0.15%"
"Jul 11, 2018","233.63","233.91","234.15","233.71","0.34K","0.00%"
"Jul 10, 2018","233.62","233.40","233.86","233.40","0.26K","-0.06%"
"Jul 09, 2018","233.76","233.57","233.64","233.57","0.12K","0.07%"
"Jul 05, 2018","233.60","233.48","233.62","233.48","0.19K","-0.15%"
"Jul 04, 2018","233.95","233.99","234.38","233.96","0.69K","-0.06%"
"Jul 03, 2018","234.10","234.10","234.28","234.07","0.16K","-0.02%"
"Jul 02, 2018","234.14","233.27","234.04","233.25","0.10K","0.10%"
"Jun 29, 2018","233.90","233.05","233.78","233.05","0.46K","0.26%"
"Jun 28, 2018","233.29","232.95","233.20","232.94","0.28K","0.08%"
"Jun 27, 2018","233.10","232.69","232.69","232.69","0.01K","0.28%"
"Jun 26, 2018","232.45","232.49","232.49","232.35","0.12K","-0.22%"
"Jun 25, 2018","232.96","233.09","233.09","233.09","0.06K","-0.18%"
"Jun 22, 2018","233.38","233.72","233.72","233.69","0.25K","-0.04%"
"Jun 21, 2018","233.47","234.17","234.52","233.58","0.09K","-0.42%"
"Jun 20, 2018","234.45","234.30","234.76","234.30","0.54K","-0.01%"
